"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","test_upload_invalid_avatar_extension[7z]","tests.API.User","Mon Sep 01 15:00:31 UTC 2025","passed","Mon Sep 01 15:00:31 UTC 2025","TestUploadAvatarNegative","test_upload_avatar_user","",""
"","28","test_update_user_valid_new_password[none_in_new_password]","tests.API.User","Mon Sep 01 15:00:26 UTC 2025","passed","Mon Sep 01 15:00:26 UTC 2025","TestUpdateUserValidValidation","test_update_user","",""
"","13","test_upload_invalid_avatar_extension[wav]","tests.API.User","Mon Sep 01 15:00:31 UTC 2025","passed","Mon Sep 01 15:00:31 UTC 2025","TestUploadAvatarNegative","test_upload_avatar_user","",""
"","585","test_update_user_valid_username[latin_username]","tests.API.User","Mon Sep 01 15:00:15 UTC 2025","passed","Mon Sep 01 15:00:16 UTC 2025","TestUpdateUserValidValidation","test_update_user","",""
"","10","test_update_user_invalid_username[space_in_username]","tests.API.User","Mon Sep 01 15:00:29 UTC 2025","passed","Mon Sep 01 15:00:29 UTC 2025","TestUpdateUserInvalidValidation","test_update_user","",""
"","21","test_create_user_valid_passwords[complex_password_all_types]","tests.API.User","Mon Sep 01 15:00:06 UTC 2025","passed","Mon Sep 01 15:00:06 UTC 2025","TestCreateUserValidValidation","test_create_user","",""
"","13","test_upload_invalid_avatar_extension[html]","tests.API.User","Mon Sep 01 15:00:31 UTC 2025","passed","Mon Sep 01 15:00:31 UTC 2025","TestUploadAvatarNegative","test_upload_avatar_user","",""
"","38","test_cache_user_data_delete_after_upload_avatar","tests.API.User","Mon Sep 01 15:00:31 UTC 2025","passed","Mon Sep 01 15:00:31 UTC 2025","TestUploadAvatarPositive","test_upload_avatar_user","",""
"","13","test_wallet_deposit_invalid_amount[nan-422]","tests.API.Wallet","Mon Sep 01 15:00:32 UTC 2025","passed","Mon Sep 01 15:00:32 UTC 2025","TestWalletDepositInvalidValidation","test_wallet_deposit","",""
"","10","test_create_user_invalid_username[hash_symbol_in_username]","tests.API.User","Mon Sep 01 15:00:07 UTC 2025","passed","Mon Sep 01 15:00:07 UTC 2025","TestCreateUserInvalidValidation","test_create_user","",""
"","25","test_login_user_valid_password[long_50_character_password]","tests.API.User","Mon Sep 01 15:00:10 UTC 2025","passed","Mon Sep 01 15:00:10 UTC 2025","TestLoginUserValidValidation","test_login_user","",""
"","307","test_login_user_with_duplicate_field","tests.API.User","Mon Sep 01 15:00:30 UTC 2025","passed","Mon Sep 01 15:00:31 UTC 2025","TestUpdateUserNegative","test_update_user","",""
"","20","test_create_user_valid_username[valid_alphanumeric]","tests.API.User","Mon Sep 01 15:00:06 UTC 2025","passed","Mon Sep 01 15:00:06 UTC 2025","TestCreateUserValidValidation","test_create_user","",""
"","11","test_upload_invalid_avatar_extension[iso]","tests.API.User","Mon Sep 01 15:00:31 UTC 2025","passed","Mon Sep 01 15:00:31 UTC 2025","TestUploadAvatarNegative","test_upload_avatar_user","",""
"","9","test_request_after_modify_token[api_client_wallet-<lambda>0]","tests.Middleware","Mon Sep 01 15:00:32 UTC 2025","passed","Mon Sep 01 15:00:32 UTC 2025","TestMiddlewareNegative","test_user_wallet_subscription_auth_middleware","",""
